experiment_id,chunk_label,query_id,query_type,has_adversarial,top1_file,top1_cosine,top1_hit,recall_at_1,recall_at_3,recall_at_10,reciprocal_rank,adv_precision_pass,adv_rank_gap
E003b-6000-500,6000/500,Q15,ANTI_PATTERN,false,core/src/main/scala/kafka/server/KafkaApis.scala,0.6159,false,0.0000,0.0000,0.0000,0.0000,,
E003b-6000-500,6000/500,Q16,DIRECT_CONCEPT,true,server/src/main/java/org/apache/kafka/server/config/ReplicationConfigs.java,0.5988,false,0.0000,1.0000,1.0000,0.3333,true,4
E003b-6000-500,6000/500,Q17,DIRECT_CONCEPT,true,raft/src/main/java/org/apache/kafka/raft/VoterSet.java,0.5939,true,1.0000,1.0000,1.0000,1.0000,true,1
E003b-6000-500,6000/500,Q18,CROSS_CUTTING,true,core/src/main/scala/kafka/server/KafkaApis.scala,0.5838,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q19,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ClientQuotaManager.scala,0.6074,true,1.0000,1.0000,1.0000,1.0000,true,6
E003b-6000-500,6000/500,Q20,DIRECT_CONCEPT,true,storage/src/main/java/org/apache/kafka/storage/internals/log/LogLoader.java,0.6187,false,0.0000,0.0000,1.0000,0.2500,true,no_adv_retrieved
E003b-6000-500,6000/500,Q21,CROSS_CUTTING,true,core/src/main/scala/kafka/server/ControllerServer.scala,0.6304,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q22,DIRECT_CONCEPT,true,core/src/main/scala/kafka/cluster/Partition.scala,0.6252,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q23,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogManager.scala,0.5887,false,0.0000,0.0000,1.0000,0.1667,false,-5
E003b-6000-500,6000/500,Q24,BEHAVIOURAL,true,core/src/main/scala/kafka/server/BrokerServer.scala,0.6072,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q25,DIRECT_CONCEPT,true,server-common/src/main/java/org/apache/kafka/admin/AdminUtils.java,0.6166,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q26,BEHAVIOURAL,true,core/src/main/scala/kafka/server/KafkaApis.scala,0.5961,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
E003b-6000-500,6000/500,Q27,CROSS_CUTTING,true,metadata/src/main/java/org/apache/kafka/image/ClusterDelta.java,0.5804,false,0.0000,0.0000,1.0000,0.2000,false,-3
E003b-6000-500,6000/500,Q28,ANTI_PATTERN,false,storage/src/main/java/org/apache/kafka/storage/log/metrics/BrokerTopicMetrics.java,0.5732,false,0.0000,0.0000,0.0000,0.0000,,
E003b-6000-500,6000/500,Q29,BEHAVIOURAL,true,core/src/main/scala/kafka/server/ReplicaManager.scala,0.6546,false,0.0000,0.0000,1.0000,0.2500,false,-3
E003b-6000-500,6000/500,Q30,DIRECT_CONCEPT,true,core/src/main/scala/kafka/log/LogCleaner.scala,0.6410,false,0.0000,0.0000,0.0000,0.0000,false,expected_missing
